Journal Page,Twp Name,Twp No,Lot No,Bounds,Alt Lot,Alt bounds,Bounds Text,Direction,Corner,Corner Observations,Chains,Links,Observation,Destination Corner,Transcriber
55,Hector,21,16,North,7,South,,East,,,77,57,"The Corner of Lots 7, 8, 16 & 17 Vide Page 39",NE,Rebecca
55,Hector,21,16,North,7,South,Land good and level  Timber much the same as Last Mentioned [Beach Maple Basswood Elm & White Ash],East,,,,,,,Rebecca
57,Hector,21,16,South,26,North,,West,SE,"Beginning at the Corner last Mentioned [Corner of Lots No. 16, 17, 26 & 27 Vide Page 39]",0,,,,Rebecca
57,Hector,21,16,South,26,North,,West,,,77,57,"The Corner of Lots No. 15, 16, 25 & 26 Vide Page 33.",SW,Rebecca
57,Hector,21,16,South,26,North,Ascending Land & Midling Good Bearing Beach  Maple Chesnut & White pine,West,,,,,,,Rebecca
39,Hector,21,16,East,17,West,,North,SE,"Beginning at the Corner last Mentioned [Corner of Lots No. 16 & 17, 26 & 27",0,,,,Judy
39,Hector,21,16,East,17,West,,North,,,30,,Crossed a small Brook running Easterly,,Judy
39,Hector,21,16,East,17,West,,North,,,80,,"Intersected a Line and Marked and Numbered a Beach Tree for the Corner of Lots No.7 & 8, 16 & 17",NE,Judy
39,Hector,21,16,East,17,West,Very good Land - Beach Maple Elm Basswood Timber mainly -,North,,,,,,,Judy
33,Hector,21,16,West,15,East,see 15 east,South,,,,,,SW,Judy
,,,,,,,,,,,,,,,
55,Hector,21,17,North,8,South,,East,NW,"Beginning at the Corner last Mentioned [Corner of Lots 7, 8, 16 & 17  Vide Page 39]",0,,,,Rebecca
55,Hector,21,17,North,8,South,,East,,,58,,Crossed a dry run bear: Northeasterly,,Rebecca
56,Hector,21,17,North,8,South,,East,,,77,57,"The Corner of Lots No. 8, 9, 17, 18 Vide Page 40",NE,
56,Hector,21,17,North,8,South,Land very good and Level Timbered with Beach Maple White pine Elm White ash etc.,East,,,,,,,
57,Hector,21,17,South,27,North,,West,SE,"Beginning at the Corner last Mentioned [Corner of Lots No. 17, 18, 27 & 28 Vide Page 40]",0,,,,Rebecca
57,Hector,21,17,South,27,North,,,,,70,,Crossed a small Brook running Southerly,,Rebecca
57,Hector,21,17,South,27,North,,,,,77,57,"The Corner of Lots No. 16, 17, 26 & 27 - Vide Page 39 ",SW,Rebecca
57,Hector,21,17,South,27,North,Ascending Land & Good Timber as last Mentioned [Beach Maple some Oak White pine & Hickory],West,,,,,,,Rebecca
40,Hector,21,17,East,18,West,,South,NE,"Beginning at the Corner last Mentioned [Corner of Lots No. 8, 9, 17 & 18]",0,,,,Judy
40,Hector,21,17,East,18,West,,South,,,16,,A small Brook running Easterly,,Judy
40,Hector,21,17,East,18,West,,South,,,80,,"Intersected a Line and Marked and Numbered a Chesnut Tree for the Corner of Lots No. 17, 18, 27 & 28",SE,Judy
40,Hector,21,17,East,18,West,Here is Chesnut timber Intermixed with Beach Maple Elm & Basswood - good Land,South,,,,,,,Judy
39,Hector,21,17,West,16,East,see 16 east,,,,,,,,Judy
,,,,,,,,,,,,,,,
56,Hector,21,18,North,9,South,,East,NW,"Beginning at the Corner last Mentioned [Corner of Lots No. 8, 9, 17, 18 Vide Page 40]",0,,,,Rebecca
56,Hector,21,18,North,9,South,,,,,77,57,"The Corner of Lots No. 9, 10,18 & 19 Vide Page 46 ",NE,Rebecca
56,Hector,21,18,North,9,South,Excellent Land Timbered as last Mentioned [Beach Maple White pine Elm White ash etc.],East,,,,,,,Rebecca
57,Hector,21,18,South,28,North,,West,SE,"Beginning at the Corner last Mentioned [Corner of Lots No. 19 & 18, 28 & 29 Vide page 45]",0,,,,Rebecca
57,Hector,21,18,South,28,North,,West,,,50,,Crossed a Brook running Southeasterly,,Rebecca
57,Hector,21,18,South,28,North,,West,,,66,,Crossed a dry run Bear: Southeasterly,,Rebecca
57,Hector,21,18,South,28,North,,West,,,77,57,"The Corner of Lots No. 17, 18, 27 & 28 Vide Page 40",SW,Rebecca
57,Hector,21,18,South,28,North,Good Land Bearing Beach Maple some Oak White pine & Hickory,West,,,,,,,Rebecca
46,Hector,21,18,East,19,West,,North,SE,"Beginning at the Corner last Mentioned [Corner of Lots No. 18, 19, 28 & 29]",0,,,,Judy
46,Hector,21,18,East,19,West,,North,,,70,,Crossed a fine Brook running Easterly,,Judy
46,Hector,21,18,East,19,West,,North,,,78,,Crossed a small Brook running Southeasterly,,Judy
46,Hector,21,18,East,19,West,,North,,,80,,"Intersected a Line Marked and Numbered a Beach Tree for the Corner of Lots No. 9, 10, 18 & 19 ",NE,Judy
46,Hector,21,18,East,19,West,Excellent Land bearing beach Maple Elm White Ash & Hickory,North,,,,,,,Judy
40,Hector,21,18,West,17,East,see 17 east,,,,,,,,Judy
,,,,,,,,,,,,,,,
56,Hector,21,19,North,10,South,,East,NW,"Beginning at the last Mentioned Corner [Corner of Lots No. 9, 10, 18 & 19 Vide Page 46]",0,,,,Rebecca
56,Hector,21,19,North,10,South,,East,,,21,,A small spring brook running Westerly,,Rebecca
56,Hector,21,19,North,10,South,,East,,,60,,Crossed a large Brook or Creek running Southerly,,Rebecca
56,Hector,21,19,North,10,South,,East,,,77,57,"The Corner of Lots No. 10, 19 Vide Page 47",NE,Rebecca
56,Hector,21,19,North,10,South,Land Excellently good & level Bear: Beach Maple Basswood Elm & White pine,East,,,,,,,
56,Hector,21,19,South,29,North,,West,SE,Beginning at the Corner of Lots No. 19 & 29 on the East Bounds of the Town Vide page 47,0,,,,Rebecca
56,Hector,21,19,South,29,North,,West,,,53,,Crossed a fine large Brook running Southeasterly,,Rebecca
56,Hector,21,19,South,29,North,,West,,,72,,Crossed the bend of a Brook running Easterly,,Rebecca
56,Hector,21,19,South,29,North,,West,,,77,57,"The Corner of Lots No. 19 & 18, 28 & 29 Vide page 45",SW,Rebecca
56,Hector,21,19,South,29,North,Land Excellent Good & Level Bearing timber as last Described [Beach Maple Basswood Elm & White pine,West,,,,,,,Rebecca
47,Hector,21,19,East,town-line,West,,South,NE,Beginning at the Corner last Mentioned [Corner of No. 10 & 19 by the Southeast & Northeast Corner there of],0,,,,JuneSzabo
47,Hector,21,19,East,town-line,West,,South,,,48,,The Land descending toward the South,,JuneSzabo
47,Hector,21,19,East,town-line,West,,South,,,80,,A hard Maple Sapling Marked and Numbered for the Southeast and Northeast Corner of Lots No. 19 & 29 Standing in the East Bounds of The Township,SE,JuneSzabo
47,Hector,21,19,East,town-line,East,Good Level Land bearing Timber last mentioned [Beach Maple Elm White Ash Basswood etc.],South,,,,,,,JuneSzabo
46,Hector,21,19,West,18,East,see 18 east,,,,,,,,Judy
,,,,,,,,,,,,,,,
17,Hector,21,20,North,11,South,,East,NW,Beginning at a poplar tree standing on the bank of the lake Marked & Numbered for the Northwest & Southwest Corner of Lots No. 20 & 11,0,,,,
17,Hector,21,20,North,11,South,,East,,,30,50,Crossed the Road -Ascending -good land,,
17,Hector,21,20,North,11,South,,East,,,70,,Opposite to an Emprovement [sic] made by Peter Love and now Occupied by Wm Livingston Timber here is White Oak Hickory Elm etc.,,
17,Hector,21,20,North,11,South,,East,,,105,,Crossed a fine spring brook Running Northwesterly  good land,,
17,Hector,21,20,North,11,South,,East,,,153,,Intersected the East Bound of the lake Lots - Vide Northeast & Southeast Corner of Lots No. 20 & 11 page 2,NE,
17,Hector,21,20,North,11,South,No journal entry,East,,,,,,,JuneSzabo
16,Hector,21,20,South,21,North,,East,SW,Beginning at a Black Oak tree marked and Num: for the Northwest and Southwest Corner of Lots No. 20 & 21 Standing on the Bank of the Lake,0,,,,Charlotte
16,Hector,21,20,South,21,North,,East,,,33,,Crossed a small run bear: Northwesterly good land,,Charlotte
16,Hector,21,20,South,21,North,,East,,,47,,The road - and nearly Opposite to where one Masters now lives,,Charlotte
16,Hector,21,20,South,21,North,,East,,,53,,A Small Spring running here the Land is very good,,Charlotte
16,Hector,21,20,South,21,North,,East,,,63,,A Small Spring brook bear Northwesterly here is a Clearing made by Masters of about 20 Acres,,Charlotte
16,Hector,21,20,South,21,North,,East,,,121,,A Spring brook running Southwesterly,,Charlotte
17,Hector,21,20,South,21,North,,East,,,156,,Intersected the East bounds of the lake lots - Vide Southeast & Northeast Corner of Lots No. 20 & 21 page 3,NE,JuneSzabo
17,Hector,21,20,South,21,North,No Journal Entry,East,,,,,,,Charlotte
3,Hector,21,20,East,12 & 22,West,,South,NE,Beginning at the Corner last mentioned [Corner of Lots No. 11 & 20],0,,,,
3,Hector,21,20,East,12 & 22,West,,South,,,9,,The soil tollerably [sic] good bearing mostly Oak and Hickory,,Charlotte
3,Hector,21,20,East,12 & 22,West,,South,,,24,,Crossed a small dry run bear:  Westerly. Crossed a small dry run bearing toward the other.,,Charlotte
3,Hector,21,20,East,12 & 22,West,,South,,,44,,Marked and Numbered a large White Oak Tree for the Southeast and Northeast Corner of Lots No. 20 & 21,SE,Charlotte
3,Hector,21,20,East,12 & 22,West,The soil & Timber pretty much the same as last mentioned [soil tollerably [sic] good bearing mostly Oak & Hickory],South,NE,,,,,,Charlotte
,Hector,21,20,West,Lake,East,No journal entry,,,,,,,,
,,,,,,,,,,,,,,,
16,Hector,21,21,North,20,South,See 20 South,,,,,,,,
15,Hector,21,21,South,30,North,,East,SW,Beginning at a White Oak tree standing on the Bank of the Lake marked & Num: for the Northwest  and Southwest Corner of Lots No. 30 and No. 21,0,,,,Charlotte
15,Hector,21,21,South,30,North,,East,,,32,,Crossed a fine Stream running Southwesterly [Northwesterly] Ascending Land,,Charlotte
15,Hector,21,21,South,30,North,,East,,,36,,Crossed it again with high bank of perpendicular Rocks,,Charlotte
15,Hector,21,21,South,30,North,,East,,,66,50,Crossed the Road Land is very stoney & rough,,Charlotte
15,Hector,21,21,South,30,North,,East,,,81,50,Crossed the Stream again,,Charlotte
16,Hector,21,21,South,30,North,,East,,,88,,The Creek again,,
16,Hector,21,21,South,30,North,,East,,,95,,Crossed it again for the last time where a small brook empties into it,,
16,Hector,21,21,South,30,North,,East,,,122,,Crossed a fine brook running Southwesterly the Land hilly & broken,,Charlotte
16,Hector,21,21,South,30,North,,East,, ,161,,Intersected the East bound of the Lake Lots Vide Southeast & Northeast Corners of Lots No. 30 & 31 [21] page 3,SE,Charlotte
16,Hector,21,21,South,30,North,No Journal Entry,East,,,,,,,
3,Hector,21,21,East,22,West,,South,NE,Beginning at the Corner last Mentioned [Corner of Lots No. 20 & 21],0,,,,Charlotte
3,Hector,21,21,East,22,West,,,,,42,,Marked and numbered a large White Oak tree for the Southeast & Northeast Corners of Lots No. 21 & 30. ,SE,Charlotte
3,Hector,21,21,East,22,West,Soil at this place Indifferent being stoney and bearing but little timber,South,NE,,,,,,
,Hector,21,21,West,Lake,East,No journal entry,,,,,,,,JuneSzabo
,,,,,,,,,,,,,,,
58,Hector,21,22,North,12,South,,West,NE,"Beginning at the Corner last Mentioned [Corner of Lots No. 12, 13, 22 & 23 Vide Page 23]",0,,,,Rebecca
58,Hector,21,22,North,12,South,,West,,,55,,Crossed a Brook running Southwesterly,,Rebecca
58,Hector,21,22,North,12,South,,West,,,61,,Crossed a small run,,Rebecca
58,Hector,21,22,North,12,South,,West,,,77,57,Intersected the East Bounds of Lot No. 20 and set a [stake] standing 30 Links westerly of a Black Oak Tree Marked and Numbered for the Northwest and Southwest Corner of Lots No. 12 & 22,NW,Rebecca
58,Hector,21,22,North,12,South,Land but Midling Timbered mainly with White Oak and somewhat Stoney,West,,,,,,,Rebecca
59,Hector,21,22,South,32,North,,East,SW,"Beginning at a Stake Standing on the Top of the Northerly Bank of a Creek or Stream with several small Saplings or Bushes Blazed around it, being the Southwest and Northwest Corner of Lots No. 22 & 32",0,,,,Rebecca
59,Hector,21,22,South,32,North,,East,,,11,,Crossed a fine Brook running Southwesterly,,Rebecca
59,Hector,21,22,South,32,North,,East,,,32,,A Spring Brook Southwesterly.,,Rebecca
59,Hector,21,22,South,32,North,,East,,,77,57,"A Corner being the Corner of Lots No. 22, 23, 32 & 33 Vide page 22",SE,Rebecca
59,Hector,21,22,South,32,North,Land but midling somewhat broken and Stoney in places.,East,,,,,,,Rebecca
23,Hector,21,22,East,23,West,,North,SE,"Beginning at the last mentioned Corner [Corner of Lots No. 22, 23, & 32]",0,,,,
23,Hector,21,22,East,23,West,,North,,,55,,Crossed a fine Brook Running Westerly Fine Land,,
23,Hector,21,22,East,23,West,,North,,,80,,"Intersected a line and Marked and Numbered a Stake for the Corner of Lots No. 12, 13, 22 & 23 with Several Small Saplings blazed around it",NE,
23,Hector,21,22,East,23,West,No Journal Entry,North,,,,,,,
,Hector,21,22,West,"20, 21",East,"see 20, 21 East",,,,,,,,
,,,,,,,,,,,,,,,
58,Hector,21,23,North,13,South,,West,NE,"Beginning at the Corner last Mentioned [Corner of Lots No. 13, 14, 23 & 24 Vide Page 25]",0,,,,Rebecca
58,Hector,21,23,North,13,South,,West,,,10,,A Small Brook running Northeasterly [Northwesterly],,Rebecca
58,Hector,21,23,North,13,South,,West,,,77,57,"The Corner of Lots No. 12, 13, 22 & 23 Vide Page 23",NW,Rebecca
58,Hector,21,23,North,13,South,Land begins to grow better bearing Hickory Beach Maple Oak & White pine,West,,,,,,,Rebecca
59,Hector,21,23,South,33,North,,East,SW,"Beginning at the  Corner last Mentioned [Corner of Lots No. 22, 23, 32 & 33 Vide page 22]",0,,,,Rebecca
59,Hector,21,23,South,33,North,,East,,,5,,A small Brook running Southwesterly,,Rebecca
59,Hector,21,23,South,33,North,,East,,,25,,Crossed a fine Brook running Southwesterly,,Rebecca
59,Hector,21,23,South,33,North,,East,,,72,,A small Brook running Southwesterly,,Rebecca
59,Hector,21,23,South,33,North,,East,,,77,57,"The Corner of Lots No. 23, 24, 33 & 34 Vide page 25",SE,Rebecca
59,Hector,21,23,South,33,North,Land Continues uneven Ascending towards the East Timber White pine  White & black Oak Beach & Maple,East,,,,,,,Rebecca
25,Hector,21,23,East,24,West,,South,NE,"Beginning at the Corner last mentioned [Corner of Lots No. 13, 14, 23 & 24]",0,,,,
25,Hector,21,23,East,24,West,,South,,,10,,A dry brook bearing Westerly,,JuneSzabo
25,Hector,21,23,East,24,West,,South,,,38,,A dry run bear:  ditto [Westerly],,JuneSzabo
25,Hector,21,23,East,24,West,,South,,,60,,A brook running Westerly,,JuneSzabo
25,Hector,21,23,East,24,West,,South,,,80,,"An Ironwood tree marked and Numbered for the Corner of Lots No. 23, 24, 33  & 34",SE,JuneSzabo
25,Hector,21,23,East,24,West,Land is level and good Bearing Beach Maple Hickory Ash and White pine,South,,,,,,,
,Hector,21,23,West,22,East,See 22 East,,,,,,,,
,,,,,,,,,,,,,,,
58,Hector,21,24,North,14,South,,West,NE,"Beginning at the Corner last Mentioned [Corner of Lots No. 14, 15, 24 & 25 Vide page 31]",0,,,,Rebecca
58,Hector,21,24,North,14,South,,West,,,77,57,"The Corner of Lots No. 13, 14, 23 & 24 Vide Page 25",NW,Rebecca
58,Hector,21,24,North,14,South,The Land not very good  Descending towards the Lake,West,,,,,,,Rebecca
59,Hector,21,24,South,34,North,,East,SW,"Beginning at the Corner last Mentioned [Corner of Lots No. 23, 24, 33 & 34 Vide page 25]",0,,,,Rebecca
59,Hector,21,24,South,34,North,,East,,,28,,Crossed a spring run bear: Southwesterly,,Rebecca
59,Hector,21,24,South,34,North,,East,,,77,57,"The Corner of Lots 24, 25, 34 & 35 Vide Page 31",SE,Rebecca
59,Hector,21,24,South,34,North,Good Land producing Beach Maple Poplar & Oak,East,,,,,,,Rebecca
31,Hector,21,24,East,25,West,,North,SE,"Beginning at the Corner last mentioned [Corner of Lots No. 24, 25, 34 & 35]",0,,,,
31,Hector,21,24,East,25,West,,North,,,80,,"A Stake Standing 10 Links Southeasterly of an Ironwood Sapling Marked for the Corner of Lots No. 14, 15, 24 & 25",NE,JuneSzabo
31,Hector,21,24,East,25,West,The land here is level and Tollerably [sic] good  Bear: Timber as before [Poplar Maple White pine & some Oak],North,,,,,,,JuneSzabo
,Hector,21,24,West,23,East,see 23 east,,,,,,,,JuneSzabo
,,,,,,,,,,,,,,,
57,Hector,21,25,North,15,South,,West,NE,"Beginning at the Corner last Mentioned [Corner of Lots No. 15, 16, 25 & 26  Vide Page 33.]",0,,,,Rebecca
57,Hector,21,25,North,15,South,,West,,,10,,A Spring Run Bear: Southerly,,Rebecca
57,Hector,21,25,North,15,South,,West,,,77,57,"The Corner of Lots No. 14, 15, 24 & 25 Vide page 31.",NW,Rebecca
57,Hector,21,25,North,15,South,High Land and not very good  Covered pretty much with underbrush & Scrubby timber,West,,,,,,,Rebecca
60,Hector,21,25,South,35,North,,East,SW,"Beginning at the Corner last mentioned [Corner of Lots 24, 25, 34 & 35 Vide Page 31]",0,,,,
60,Hector,21,25,South,35,North,,East,,,10,,Entered Land which appears to have been burnt- Covered very thick with underbrush Descending Land and better Timbered,,JuneSzabo
60,Hector,21,25,South,35,North,,East,,,77,57,"The Corner of Lots No. 25, 26, 35 & 36 Vide Page 33 & 34",SE,JuneSzabo
60,Hector,21,25,South,35,North,Land pretty good and Timbered toward the Corner,East,,,,,,,JuneSzabo
33,Hector,21,25,East,26,West,,South,NE,"Beginning at last mentioned Corner [Corner of  Lots No. 15, 16, 25 & 26]",0,,,,Judy
33,Hector,21,25,East,26,West,,South,,,30,,Crossed a large brook running Easterly Timber Chesnut Beach & Maple mainly,,Judy
33,Hector,21,25,East,26,West,,South,,,80,,"Intersected a Line Marked and Numbered a Stake Standing 6 Links Southwest of a Maple Tree also Marked and Numbered for the Corner of Lots No. 25, 26, 35  & 36",SE,Judy
33,Hector,21,25,East,26,West,Land but midling. Timber as last mentioned [Chesnut Beach & Maple mainly],South,,,,,,,Judy
,Hector,21,25,West,24,East,see 24 east,,,,,,,,JuneSzabo
,,,,,,,,,,,,,,,
57,Hector,21,26,North,16,South,,West,NE,"Beginning at the Corner last Mentioned [Corner of Lots No. 16, 17, 26 & 27 -  Vide Page 39]",0,,,,Rebecca
57,Hector,21,26,North,16,South,,West,,,77,57,"The Corner of Lots No. 15, 16, 25 & 26 Vide Page 33.",NW,Rebecca
57,Hector,21,26,North,16,South,Ascending Land & Midling Good Bearing Beach Maple Chesnut & White pine.,West,,,,,,,Rebecca
60,Hector,21,26,South,36,North,,East,SW,"Beginning at the Corner last Mentioned [Corner of Lots No. 25, 26, 35 & 36 Vide Page 33 & 34]",0,,,,Rebecca
60,Hector,21,26,South,36,North,,East,,,42,,Crossed a Brook Running Southeasterly,,Rebecca
60,Hector,21,26,South,36,North,,East,,,77,57,"The Corner of Lots No. 26, 27, 36 & 37 - Vide Page 38",SE,Rebecca
60,Hector,21,26,South,36,North,Land not very good - rather uneven. bearing Beach Maple Oak & White pine.,East,,,,,,,Rebecca
39,Hector,21,26,East,27,West,,North,SE,"Beginning at the last Mentioned Corner [Corner of Lots No. 26, 27, 36 & 37]",0,,,,Judy
39,Hector,21,26,East,27,West,,North,,,50,,Crossed a fine brook running Easterly,,Judy
39,Hector,21,26,East,27,West,,North,,,80,,"Intersected a Line and Marked and Numbered a Maple Tree for the Corner of Lots No. 16 & 17, 26 & 27",NE,Judy
39,Hector,21,26,East,27,West,Excellent fine level Land,North,,,,,,,Judy
,Hector,21,26,West,25,East,See 25 East,,,,,,,,
,,,,,,,,,,,,,,,
57,Hector,21,27,North,17,South,See 17 South,,,,,,,,
60,Hector,21,27,South,37,North,,East,SW,"Beginning at the Corner last Mentioned [Corner of Lots No. 26, 27, 36 & 37 Vide Page 38]",0,,,,Rebecca
60,Hector,21,27,South,37,North,,East,,,15,,A Brook running Southerly,,JuneSzabo
60,Hector,21,27,South,37,North,,East,,,50,,Crossed a fine large Brook running Southeasterly,,JuneSzabo
60,Hector,21,27,South,37,North,,,,,77,57,"The Corner of Lots No. 27, 28, 37 & 38 Vide Page 41",SE,Rebecca
60,Hector,21,27,South,37,North,Good land and level timber Beach Maple White Ash Elm Basswood & White pine.,East,,,,,,,JuneSzabo
40,Hector,21,27,East,28,West,,South,NE,"Beginning at the Corner last Mentioned [Corner of Lots No. 17, 18, 27 & 28]",0,,,,
40,Hector,21,27,East,28,West,,South,,,80,,"Intersected a Line and set a Stake 20 Links Southeast of a White pine tree Marked and Numbered for the Corner of Lots No. 27, 28 & 38",SE,Judy
40,Hector,21,27,East,28,West,Fine Land & level Bearing timber as mentioned [Beach Maple Elm & Basswood],South,,,,,,,Judy
,Hector,21,27,West,26,East,See 26 East,,,,,,,,
,,,,,,,,,,,,,,,
57,Hector,21,28,North,18,South,See 18 South,,,,,,,,
61,Hector,21,28,South,38,North,,East,SW,"Beginning at the Corner last Mentioned [Corner of Lots No. 27, 28, 37 & 38 Vide page 41]",0,,,,Rebecca
61,Hector,21,28,South,38,North,,East,,,16,,A small Brook Southeasterly,,JuneSzabo
61,Hector,21,28,South,38,North,,East,,,56,,A small brook Running Ditto [Southeasterly],,Rebecca
61,Hector,21,28,South,38,North,,East,,,77,57,"The Corner of Lots No. 28, 29, 38 & 39 Vide Page 45.",SE,JuneSzabo
61,Hector,21,28,South,38,North,Excellent Land Bearing Beach Maple Ash Elm & Basswood,East,,,,,,,Rebecca
45,Hector,21,28,East,29,West,,North,SE,"Beginning at the Corner last Mentioned [Corner of Lots No. 28, 29, 38 & 39]",0,,,,Judy
45,Hector,21,28,East,29,West,,North,,,49,,Crossed a small Brook running Easterly,,Judy
45,Hector,21,28,East,29,West,,North,,,78,,Crossed a fine Brook running Easterly,,Judy
45,Hector,21,28,East,29,West,,North,,,80,,"Intersected the Line and Marked & Numbered a small beach Tree for the Corner of Lots No. 18, 19, 28 & 29",NE,Judy
45,Hector,21,28,East,29,West,Land & timber the same as last described [Beach Maple white Ash Elm Basswood & Pine],North,,,,,,,Judy
,Hector,21,28,West,27,East,See 27  East,,,,,,,,
,,,,,,,,,,,,,,,
,Hector,21,29,North,19,South,See 19 South,,,,,,,,
61,Hector,21,29,South,39,North,,East,SW,"Beginning at the Corner last Mentioned [Corner of Lots No. 28, 29, 38 & 39 Vide Page 45]",0,,,,Rebecca
61,Hector,21,29,South,39,North,,East,,,15,,A spring Run bearing Southerly,,JuneSzabo
61,Hector,21,29,South,39,North,,East,,,31,,Crossed a large Stream or Creek running Easterly,,JuneSzabo
61,Hector,21,29,South,39,North,,East,,,60,,Crossed the same several times,,Rebecca
61,Hector,21,29,South,39,North,,East,,,72,,Crossed the same again which now bear an Easterly Course,,Rebecca
61,Hector,21,29,South,39,North,,East,,,77,57,The Corner of Lots No. 29 & 39 being the Southeast and Northeast Corner thereof  Standing in the East Bounds of the Town Vide page 48,SE,JuneSzabo
61,Hector,21,29,South,39,North,Land Excellently good and Level,East,,,,,,,Rebecca
48,Hector,21,29,East,Ulysses,West,,South,NE,Beginning at the Corner last mentioned [Corner of Lots No. 19 & 29],0,,,,
48,Hector,21,29,East,Ulysses,Wets,,South,,,30,,Low Land inclining to Swamp,,
48,Hector,21,29,East,Ulysses,West,,South,,,38,,Crossed a fine Brook,,Rebecca
48,Hector,21,29,East,Ulysses,West,,South,,,80,,A Stake standing in the East Bounds of the Town near an Elm Sapling marked and Numbered for the Southwest [Southwest] & Northeast Corner of Lots No. 29 & 39,SE,Rebecca
48,Hector,21,29,East,Ulysses,West,Land continues good & Level Bearing Elm White Ash & Hickory,South,,,,,,,Rebecca
,Hector,21,29,West,28,East,See 28 East,,,,,,,,
,,,,,,,,,,,,,,,
,Hector,21,30,North,21,South,See 21 South,,,,,,,,
15,Hector,21,30,South,31,North,,East,SW,Beginning at a White Ash Sapling Standing on the Bank of the Lake Marked & Numbered for the Northwest & Southwest Corners of Lots No. 30 & 31,0,,,,Charlotte
15,Hector,21,30,South,31,North,,East,,,47,,Crossed the last time a small Run bearing nearly Westerly,,Charlotte
15,Hector,21,30,South,31,North,,East,,,65,,Crossed the road Excellent Land,,Charlotte
15,Hector,21,30,South,31,North,,East,,,159,50,Intersected the east Bounds of the Lake Lots - Vide Southeast & Northeast Corner of Lots No. 30 & 31 -page 4,SE,Charlotte
15,Hector,21,30,South,31,North,No Journal Entry,,,,,,,,
3,Hector,21,30,East,32,West,,South,NE,Beginning at the Corner last mentioned [Corner of Lots No. 21 & 30],0,,,,Charlotte
3,Hector,21,30,East,32,West,,South,,,2,,Began to descend a Steep Bank,,Charlotte
3,Hector,21,30,East,32,West,,South,,,12,,Crossed a large Brook running Westerly,,Charlotte
3,Hector,21,30,East,32,West,,South,,,22,,Ascended the oppostie Bank- fine land,,Charlotte
3,Hector,21,30,East,32,West,,South,,,33,,Crossed a small Brook running Westerly,,Charlotte
3,Hector,21,30,East,32,West,,South,,,35,,Crossed a fine spring Brook running due west by then Entered a fine dry Swamp but Shortly Inclines to wet.  Timbered mainly with white and black Ash Maple Elm Birch & Basswood - and toward the latter part some Hemlock and White Pine Intermixed,,Charlotte
4,Hector,21,30,East,32,West,,South,,,42,,Marked & Numbered a large Hemlock Tree for the Corners of Lots No. 30 & 31 Standing on the Edge of the Swamp just Mentioned ,SE,Charlotte
4,Hector,21,30,East,32,West,No Journal Entry,South,,,,,,,Charlotte
,Hector,21,30,West,Lake,East,No Journal Entry,,,,,,,,
,,,,,,,,,,,,,,,
15,Hector,21,31,North,30,South,See 30 South,,,,,,,,
14,Hector,21,31,South,40,North,,East,SW,Beginning at a small White pine tree marked and numbered for the Northwest and Southwest Corner of Lots No.31 & 40 Standing on the Bank of the lake,0,,,,
14,Hector,21,31,South,40,North,,East,,,26,50,Crossed a small run bear:  Southwesterly Ascending and good Land,,
14,Hector,21,31,South,40,North,,East,,,45,,Crossed a small run bear: Northwesterly,,
14,Hector,21,31,South,40,North,,East,,,50,,Crossed the same again,,
14,Hector,21,31,South,40,North,,East,,,51,50,Crossed the road good land & Well Timbered,,
14,Hector,21,31,South,40,North,,East,,,146,,Intersected the East bounds of the Lots Vide Southeast and Northeast Corners of Lots No. 40 & 31 page 4,SE,
14,Hector,21,31,South,40,North,No Journal Entry,,,,,,,,
4,Hector,21,31,East,32 & 42,West,,South,NE,Beginning at the Corner last Mentioned [Corner of Lots No. 30 & 31],0,,,,
4,Hector,21,31,East,32,West,,South,,,19,,A Small rise of Upland in the Aforesaid Swamp,,
4,Hector,21,31,East,32,West,,South,,,36,,A Brook Bearing Southerly,,
4,Hector,21,31,East,32,West,,South,,,44,20,Marked and Numbered a large black Oak Tree for the Southeast & Northeast Corner of Lots No. 31 & 40,SE,
4,Hector,21,31,East,32,West,Swamp Still Continues Bearing timber pretty much as before [white and black Ash Maple Elm Birch & Basswood - and toward the latter part some Hemlock and White Pine Intermixed,South,,,,,,,
,Hector,21,31,West,Lake,East,No Journal Entry,,,,,,,,
,,,,,,,,,,,,,,,
,Hector,21,32,North,22,South,See 22 South,,,,,,,,
64,Hector,21,32,South,42,North,,West,SE,"Beginning at the Corner last Mentioned [corner of Lots No. 32, 33, 42 & 43 Vide Page 22]",0,,,,Rebecca
64,Hector,21,32,South,42,North,,West,,,3,,A small Brook Running Westerly which the same Crossed several times afterwards,,Rebecca
64,Hector,21,32,South,42,North,,West,,,77,57,To a Stake and Stones Standing in the East Bounds of Lots No. 31 being the Southwest & Northwest Corner of Lots No. 32 & 42,SW,JuneSzabo
64,Hector,21,32,South,42,North,No Journal Entry,,,,,,,,
22,Hector,21,32,East,33,West,,North,SE,"Beginning at the Corner last Mentioned [Corner of Lots No.32, 33, 42, 43]",0,,,,
22,Hector,21,32,East,33,West,,North,,,70,,"Crossed a fine brook running Southerly Land good and the timber much as described before [Hickory, Elm, Basswood and White Ash]",,JuneSzabo
22,Hector,21,32,East,33,West,,,,,80,,"Intersected a Line and Marked and Numbered a large White pine tree for the Corner of Lots No. 22, 23 & 33]",NE,JuneSzabo
