Journal Page,Twp Name,Twp No,Lot No,Bounds,Alt Lot,Alt bounds,Bounds Text,Direction,Corner,Corner Observations,Chains,Links,Observation,Destination Corner,Transcriber
54,Hector,21,4,South,13,North,Land good and Level Bearing Basswood Walnut & Ash.,East,,,,,,,
24,Hector,21,4,East,5,West,,South,NE,Beginning at a Maple tree Standing on the North bounds of the town Marked and numbered for the Northeast & Northwest Corners of Lots No. 4 & 5,0,,,,
24,Hector,21,4,East,5,West,,South,,,30,,Crossed a brook running Westerly good land producing Beach Maple Elm Oak & Hickory,,JuneSzabo
24,Hector,21,4,East,5,West,,South,,,50,,Crossed a brook running Westerly,,JuneSzabo
24,Hector,21,4,East,5,West,,South,,,65,,Crossed a brook running Westerly Land Continues very good,,JuneSzabo
24,Hector,21,4,East,5,West,,South,,,80,,"Intersected a Line marked & Numbered a Chesnut Stake for the Corner of Lots Numbered 4, 5, 13 & 14 with several small Saplings Blazed around it",SE,JuneSzabo
24,Hector,21,4,East,5,West,No journal entry,,,,,,,,
,Hector,21,4,West,3,East,See Lot 3 east,,,,,,,,JuneSzabo
,,,,,,,,,,,,,,,
53,Hector,21,5,North,Townline,South,,West,NE,Beginning at the Corner last mentioned [Corner Lots No. 5 & 6  Vide page 32],0,,,,Rebecca
53,Hector,21,5,North,Townline,South,,West,,,53,,Descending towards the Lake,,
53,Hector,21,5,North,Townline,South,,West,,,77,57,The Northeast and Northwest Corner of Lots No. 4 & 5. Vide page 24 ,NW,Rebecca
53,Hector,21,5,North,Townline,South," Land Tollerable [sic] good Bearing Timber as Last mentioned [Beach, Maple, Ash, Basswood, Elm & White pine]",,,,,,,,
55,Hector,21,5,South,14,North,,East,SW,"Beginning at the Corner last Mentioned [Corner of Lots No. 4, 5, 13, 14 Vide page 24]",0,,,,
55,Hector,21,5,South,14,North,,East,,,40,,The top of a long Gradual ascent,,Rebecca
55,Hector,21,5,South,14,North,,East,,,77,57,"The Corner of Lots No. 5, 6, 14, 15  Vide Page 32 ",SE,Rebecca
55,Hector,21,5,South,14,North,Land level but not very being the top of the Ridge from Whence the waters run Opposite ways. ,,,,,,,,
32,Hector,21,5,East,6,West,,North,SE,"Beginning at the Corner last Mentioned [Corner of Lots No. 5, 6, 14 & 15]",0,,,,
32,Hector,21,5,East,6,West,,North,,,30,,Crossed a small Brook Running Easterly,,JuneSzabo
32,Hector,21,5,East,6,West,,North,,,80,,A Stake in the North Bounds of the Town Standing 6 Links westerly of a Beach tree Marked and Numbered for the Northeast and Northwest corner of Lots No. 5 & 6.,NE,Judy
